"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 08 2008","2454687","239889601","1.17","< 5.43e-8","-","-","-","138.11","1e-8","0","bin1.log"
"Aug 15 2008","2454694","240494401","1.52","< 6.00e-8","-","-","-","144.31","1e-8","0","bin2.log"
"Aug 22 2008","2454701","241099201","0","< 3.52e-8","-","-","-","150.01","1e-8","0","bin3.log"
"Aug 29 2008","2454708","241704001","4.69","4.49e-8","2.58e-8","-2.55","-","154.93","1e-8","0","bin4.log"
"Sep 05 2008","2454715","242308801","0","< 3.90e-8","-","-","-","158.59","1e-8","0","bin5.log"
"Sep 12 2008","2454722","242913601","0","< 5.01e-8","-","-","-","160.34","1e-8","0","bin6.log"
"Sep 19 2008","2454729","243518401","1.21","< 7.35e-8","-","-","-","159.76","1e-8","0","bin7.log"
"Sep 26 2008","2454736","244123201","0","< 3.48e-8","-","-","-","157.09","1e-8","0","bin8.log"
"Oct 03 2008","2454743","244728001","0","< 4.41e-8","-","-","-","153.00","1e-8","0","bin9.log"
"Oct 10 2008","2454750","245332801","0.29","< 5.36e-8","-","-","-","148.09","1e-8","0","bin10.log"
"Oct 17 2008","2454757","245937601","0","< 2.44e-8","-","-","-","142.73","1e-8","0","bin11.log"
"Oct 24 2008","2454764","246542401","0.23","< 6.36e-8","-","-","-","137.14","1e-8","0","bin12.log"
"Oct 31 2008","2454771","247147201","0","< 4.65e-8","-","-","-","131.43","1e-8","0","bin13.log"
"Nov 07 2008","2454778","247752001","0","< 5.03e-8","-","-","-","125.69","1e-8","0","bin14.log"
"Nov 14 2008","2454785","248356801","0","< 3.31e-8","-","-","-","119.96","1e-8","0","bin15.log"
"Nov 21 2008","2454792","248961601","0","< 3.50e-8","-","-","-","114.27","1e-8","0","bin16.log"
"Nov 28 2008","2454799","249566401","0","< 2.97e-8","-","-","-","108.63","1e-8","0","bin17.log"
"Dec 05 2008","2454806","250171201","0.1","< 5.46e-8","-","-","-","103.04","1e-8","0","bin18.log"
"Dec 12 2008","2454813","250776001","0","< 4.49e-8","-","-","-","97.49","1e-8","0","bin19.log"
"Dec 19 2008","2454820","251380801","0","< 4.61e-8","-","-","-","91.96","1e-8","0","bin20.log"
"Dec 26 2008","2454827","251985601","0","< 5.06e-8","-","-","-","86.43","1e-8","0","bin21.log"
"Jan 02 2009","2454833.999988426","252590401","0.01","< 4.75e-8","-","-","-","80.87","1e-8","0","bin22.log"
"Jan 09 2009","2454840.999988426","253195201","0","< 3.35e-8","-","-","-","75.27","1e-8","0","bin23.log"
"Jan 16 2009","2454847.999988426","253800001","1.39","< 4.46e-8","-","-","-","69.60","1e-8","0","bin24.log"
"Jan 23 2009","2454854.999988426","254404801","0.2","< 3.53e-8","-","-","-","63.87","1e-8","0","bin25.log"
"Jan 30 2009","2454861.999988426","255009601","0","< 3.93e-8","-","-","-","58.08","1e-8","0","bin26.log"
"Feb 06 2009","2454868.999988426","255614401","0.72","< 7.12e-8","-","-","-","52.24","1e-8","0","bin27.log"
"Feb 13 2009","2454875.999988426","256219201","0.44","< 6.12e-8","-","-","-","46.39","1e-8","0","bin28.log"
"Feb 20 2009","2454882.999988426","256824001","0","< 4.66e-8","-","-","-","40.60","1e-8","0","bin29.log"
"Feb 27 2009","2454889.999988426","257428801","0","< 4.32e-8","-","-","-","34.95","1e-8","0","bin30.log"
"Mar 06 2009","2454896.999988426","258033601","0","< 3.04e-8","-","-","-","29.61","1e-8","0","bin31.log"
"Mar 13 2009","2454903.999988426","258638401","0","< 3.55e-8","-","-","-","24.87","1e-8","0","bin32.log"
"Mar 20 2009","2454910.999988426","259243201","0","< 3.89e-8","-","-","-","21.22","1e-8","0","bin33.log"
"Mar 27 2009","2454917.999988426","259848001","0.32","< 5.65e-8","-","-","-","19.37","1e-8","0","bin34.log"
"Apr 03 2009","2454924.999988426","260452801","0","< 3.70e-8","-","-","-","19.92","1e-8","0","bin35.log"
"Apr 10 2009","2454931.999988426","261057601","0.51","< 5.70e-8","-","-","-","22.77","1e-8","0","bin36.log"
"Apr 17 2009","2454938.999988426","261662401","0","< 4.53e-8","-","-","-","27.24","1e-8","0","bin37.log"
"Apr 24 2009","2454945.999988426","262267201","0.01","< 4.91e-8","-","-","-","32.73","1e-8","0","bin38.log"
"May 01 2009","2454952.999988426","262872001","0.21","< 5.43e-8","-","-","-","38.83","1e-8","0","bin39.log"
"May 08 2009","2454959.999988426","263476801","0","< 3.37e-8","-","-","-","45.33","1e-8","0","bin40.log"
"May 15 2009","2454966.999988426","264081601","10.28","6.21e-8","2.50e-8","-2.55","-","52.09","1e-8","0","bin41.log"
"May 22 2009","2454973.999988426","264686401","0.41","< 6.09e-8","-","-","-","59.04","1e-8","0","bin42.log"
"May 29 2009","2454980.999988426","265291201","0","< 5.02e-8","-","-","-","66.12","1e-8","0","bin43.log"
"Jun 05 2009","2454987.999988426","265896001","4.44","2.97e-8","2.00e-8","-2.55","-","73.30","1e-8","0","bin44.log"
"Jun 12 2009","2454994.999988426","266500801","0.17","< 6.26e-8","-","-","-","80.54","1e-8","0","bin45.log"
"Jun 19 2009","2455001.999988426","267105601","0.52","< 4.68e-8","-","-","-","87.81","1e-8","0","bin46.log"
"Jun 26 2009","2455008.999988426","267710401","0.04","< 4.60e-8","-","-","-","95.08","1e-8","0","bin47.log"
"Jul 03 2009","2455015.999988426","268315201","4.96","4.36e-8","2.29e-8","-2.55","-","102.33","1e-8","0","bin48.log"
"Jul 10 2009","2455022.999988426","268920001","0.2","< 5.55e-8","-","-","-","109.51","1e-8","0","bin49.log"
"Jul 17 2009","2455029.999988426","269524801","2.08","< 7.15e-8","-","-","-","116.61","1e-8","0","bin50.log"
"Jul 24 2009","2455036.999988426","270129601","0","< 3.58e-8","-","-","-","123.58","1e-8","0","bin51.log"
"Jul 31 2009","2455043.999988426","270734401","0","< 5.36e-8","-","-","-","130.39","1e-8","0","bin52.log"
"Aug 07 2009","2455050.999988426","271339201","0","< 3.83e-8","-","-","-","136.97","1e-8","0","bin53.log"
"Aug 14 2009","2455057.999988426","271944001","0","< 3.63e-8","-","-","-","143.24","1e-8","0","bin54.log"
"Aug 21 2009","2455064.999988426","272548801","1.86","< 6.59e-8","-","-","-","149.05","1e-8","0","bin55.log"
"Aug 28 2009","2455071.999988426","273153601","0.13","< 5.99e-8","-","-","-","154.14","1e-8","0","bin56.log"
"Sep 04 2009","2455078.999988426","273758401","0","< 4.61e-8","-","-","-","158.06","1e-8","0","bin57.log"
"Sep 11 2009","2455085.999988426","274363201","0","< 4.82e-8","-","-","-","160.19","1e-8","0","bin58.log"
"Sep 18 2009","2455092.999988426","274968001","0","< 5.31e-8","-","-","-","160.03","1e-8","0","bin59.log"
"Sep 25 2009","2455099.999988426","275572801","0.06","< 5.40e-8","-","-","-","157.69","1e-8","0","bin60.log"
"Oct 02 2009","2455106.999988426","276177601","0","< 6.52e-8","-","-","-","153.80","1e-8","0","bin61.log"
"Oct 09 2009","2455113.999988426","276782401","0","< 3.40e-8","-","-","-","149.01","1e-8","0","bin62.log"
"Oct 16 2009","2455120.999988426","277387201","4.5","5.54e-8","3.30e-8","-2.55","-","143.71","1e-8","0","bin63.log"
"Oct 23 2009","2455127.999988426","277992001","0","< 5.05e-8","-","-","-","138.14","1e-8","0","bin64.log"
"Oct 30 2009","2455134.999988426","278596801","0","< 3.58e-8","-","-","-","132.45","1e-8","0","bin65.log"
"Nov 06 2009","2455141.999988426","279201601","4.42","4.76e-8","2.73e-8","-2.55","-","126.71","1e-8","0","bin66.log"
"Nov 13 2009","2455148.999988426","279806401","0.14","< 4.54e-8","-","-","-","120.97","1e-8","0","bin67.log"
"Nov 20 2009","2455155.999988426","280411201","0","< 6.08e-8","-","-","-","115.28","1e-8","0","bin68.log"
"Nov 27 2009","2455162.999988426","281016001","0.37","< 5.67e-8","-","-","-","109.63","1e-8","0","bin69.log"
"Dec 04 2009","2455169.999988426","281620801","1.38","< 7.51e-8","-","-","-","104.03","1e-8","0","bin70.log"
"Dec 11 2009","2455176.999988426","282225601","0.01","< 4.85e-8","-","-","-","98.47","1e-8","0","bin71.log"
"Dec 18 2009","2455183.999988426","282830401","1.49","< 7.65e-8","-","-","-","92.94","1e-8","0","bin72.log"
"Dec 25 2009","2455190.999988426","283435201","0","< 4.77e-8","-","-","-","87.41","1e-8","0","bin73.log"
"Jan 01 2010","2455197.999988426","284040001","1","< 6.05e-8","-","-","-","81.86","1e-8","0","bin74.log"
"Jan 08 2010","2455204.999988426","284644801","1.23","< 6.71e-8","-","-","-","76.27","1e-8","0","bin75.log"
"Jan 15 2010","2455211.999988426","285249601","0","< 5.04e-8","-","-","-","70.61","1e-8","0","bin76.log"
"Jan 22 2010","2455218.999988426","285854401","0","< 3.83e-8","-","-","-","64.89","1e-8","0","bin77.log"
"Jan 29 2010","2455225.999988426","286459201","0","< 3.94e-8","-","-","-","59.11","1e-8","0","bin78.log"
"Feb 05 2010","2455232.999988426","287064001","0","< 4.08e-8","-","-","-","53.28","1e-8","0","bin79.log"
"Feb 12 2010","2455239.999988426","287668801","3.3","< 8.95e-8","-","-","-","47.43","1e-8","0","bin80.log"
"Feb 19 2010","2455246.999988426","288273601","0.9","< 7.10e-8","-","-","-","41.62","1e-8","0","bin81.log"
"Feb 26 2010","2455253.999988426","288878401","0.35","< 5.58e-8","-","-","-","35.94","1e-8","0","bin82.log"
"Mar 05 2010","2455260.999988426","289483201","0","< 6.13e-8","-","-","-","30.53","1e-8","0","bin83.log"
"Mar 12 2010","2455267.999988426","290088001","0.01","< 6.27e-8","-","-","-","25.65","1e-8","0","bin84.log"
"Mar 19 2010","2455274.999988426","290692801","0","< 5.99e-8","-","-","-","21.75","1e-8","0","bin85.log"
"Mar 26 2010","2455281.999988426","291297601","3.95","< 1.23e-7","-","-","-","19.53","1e-8","0","bin86.log"
"Apr 02 2010","2455288.999988426","291902401","0","< 4.84e-8","-","-","-","19.65","1e-8","0","bin87.log"
"Apr 09 2010","2455295.999988426","292507201","0","< 3.13e-8","-","-","-","22.12","1e-8","0","bin88.log"
"Apr 16 2010","2455302.999988426","293112001","0.06","< 3.02e-8","-","-","-","26.36","1e-8","0","bin89.log"
"Apr 23 2010","2455309.999988426","293716801","7.71","5.49e-8","2.64e-8","-2.55","-","31.70","1e-8","0","bin90.log"
"Apr 30 2010","2455316.999988426","294321601","3.13","< 9.12e-8","-","-","-","37.72","1e-8","0","bin91.log"
"May 07 2010","2455323.999988426","294926401","0.5","< 6.66e-8","-","-","-","44.15","1e-8","0","bin92.log"
"May 14 2010","2455330.999988426","295531201","0","< 3.22e-8","-","-","-","50.87","1e-8","0","bin93.log"
"May 21 2010","2455337.999988426","296136001","1.63","< 8.86e-8","-","-","-","57.79","1e-8","0","bin94.log"
"May 28 2010","2455344.999988426","296740801","1.81","< 8.32e-8","-","-","-","64.86","1e-8","0","bin95.log"
"Jun 04 2010","2455351.999988426","297345601","2.22","< 6.05e-8","-","-","-","72.02","1e-8","0","bin96.log"
"Jun 11 2010","2455358.999988426","297950401","0.19","< 5.57e-8","-","-","-","79.25","1e-8","0","bin97.log"
"Jun 18 2010","2455365.999988426","298555201","23.21","9.09e-8","2.86e-8","-2.55","-","86.52","1e-8","0","bin98.log"
"Jun 25 2010","2455372.999988426","299160001","7.29","9.03e-8","3.91e-8","-2.55","-","93.79","1e-8","0","bin99.log"
"Jul 02 2010","2455379.999988426","299764801","6.61","6.09e-8","3.20e-8","-2.55","-","101.04","1e-8","0","bin100.log"
"Jul 09 2010","2455386.999988426","300369601","2.45","< 9.82e-8","-","-","-","108.24","1e-8","0","bin101.log"
"Jul 16 2010","2455393.999988426","300974401","2.77","< 9.97e-8","-","-","-","115.36","1e-8","0","bin102.log"
"Jul 23 2010","2455400.999988426","301579201","71.37","2.14e-7","4.00e-8","-2.55","-","122.35","1e-8","0","bin103.log"
"Jul 30 2010","2455407.999988426","302184001","24.25","1.23e-7","3.41e-8","-2.55","-","129.20","1e-8","0","bin104.log"
"Aug 06 2010","2455414.999988426","302788801","13.07","9.04e-8","3.31e-8","-2.55","-","135.82","1e-8","0","bin105.log"
"Aug 13 2010","2455421.999988426","303393601","8.67","6.02e-8","2.76e-8","-2.55","-","142.16","1e-8","0","bin106.log"
"Aug 20 2010","2455428.999988426","303998401","0","< 5.45e-8","-","-","-","148.06","1e-8","0","bin107.log"
"Aug 27 2010","2455435.999988426","304603201","2.13","< 1.02e-7","-","-","-","153.30","1e-8","0","bin108.log"
"Sep 03 2010","2455442.999988426","305208001","2.83","< 1.09e-7","-","-","-","157.47","1e-8","0","bin109.log"
"Sep 10 2010","2455449.999988426","305812801","12.94","9.56e-8","3.57e-8","-2.55","-","159.97","1e-8","0","bin110.log"
"Sep 17 2010","2455456.999988426","306417601","50.49","1.97e-7","4.00e-8","-2.55","-","160.23","1e-8","0","bin111.log"
"Sep 24 2010","2455463.999988426","307022401","6.2","6.58e-8","3.30e-8","-2.55","-","158.24","1e-8","0","bin112.log"
"Oct 01 2010","2455470.999988426","307627201","0","< 3.54e-8","-","-","-","154.57","1e-8","0","bin113.log"
"Oct 08 2010","2455477.999988426","308232001","4.7","5.60e-8","3.12e-8","-2.55","-","149.90","1e-8","0","bin114.log"
"Oct 15 2010","2455484.999988426","308836801","0","< 4.85e-8","-","-","-","144.67","1e-8","0","bin115.log"
"Oct 22 2010","2455491.999988426","309441601","0","< 4.25e-8","-","-","-","139.14","1e-8","0","bin116.log"
"Oct 29 2010","2455498.999988426","310046401","0.03","< 5.82e-8","-","-","-","133.46","1e-8","0","bin117.log"
"Nov 05 2010","2455505.999988426","310651201","13.05","6.51e-8","2.55e-8","-2.55","-","127.73","1e-8","0","bin118.log"
"Nov 12 2010","2455512.999988426","311256001","3.27","< 8.18e-8","-","-","-","121.99","1e-8","0","bin119.log"
"Nov 19 2010","2455519.999988426","311860801","0","< 2.88e-8","-","-","-","116.28","1e-8","0","bin120.log"
"Nov 26 2010","2455526.999988426","312465601","0.02","< 5.36e-8","-","-","-","110.62","1e-8","0","bin121.log"
"Dec 03 2010","2455533.999988426","313070401","0","< 4.27e-8","-","-","-","105.02","1e-8","0","bin122.log"
"Dec 10 2010","2455540.999988426","313675201","0","< 4.56e-8","-","-","-","99.45","1e-8","0","bin123.log"
"Dec 17 2010","2455547.999988426","314280001","0.02","< 5.89e-8","-","-","-","93.92","1e-8","0","bin124.log"
"Dec 24 2010","2455554.999988426","314884801","0.65","< 5.52e-8","-","-","-","88.39","1e-8","0","bin125.log"
"Dec 31 2010","2455561.999988426","315489601","0.16","< 6.01e-8","-","-","-","82.85","1e-8","0","bin126.log"
"Jan 07 2011","2455568.999988426","316094401","0","< 3.22e-8","-","-","-","77.26","1e-8","0","bin127.log"
"Jan 14 2011","2455575.999988426","316699201","0","< 4.23e-8","-","-","-","71.62","1e-8","0","bin128.log"
"Jan 21 2011","2455582.999988426","317304001","0.95","< 6.19e-8","-","-","-","65.91","1e-8","0","bin129.log"
"Jan 28 2011","2455589.999988426","317908801","0","< 4.32e-8","-","-","-","60.14","1e-8","0","bin130.log"
"Feb 04 2011","2455596.999988426","318513601","2.4","< 6.82e-8","-","-","-","54.31","1e-8","0","bin131.log"
"Feb 11 2011","2455603.999988426","319118401","0","< 5.49e-8","-","-","-","48.47","1e-8","0","bin132.log"
"Feb 18 2011","2455610.999988426","319723201","0.33","< 5.44e-8","-","-","-","42.64","1e-8","0","bin133.log"
"Feb 25 2011","2455617.999988426","320328001","0","< 5.27e-8","-","-","-","36.93","1e-8","0","bin134.log"
"Mar 04 2011","2455624.999988426","320932801","7.08","6.42e-8","3.06e-8","-2.55","-","31.46","1e-8","0","bin135.log"
"Mar 11 2011","2455631.999988426","321537601","2.62","< 9.03e-8","-","-","-","26.46","1e-8","0","bin136.log"
"Mar 18 2011","2455638.999988426","322142401","1.54","< 9.25e-8","-","-","-","22.35","1e-8","0","bin137.log"
"Mar 25 2011","2455645.999988426","322747201","8.69","5.48e-8","2.32e-8","-2.55","-","19.77","1e-8","0","bin138.log"
"Apr 01 2011","2455652.999988426","323352001","0.01","< 6.64e-8","-","-","-","19.44","1e-8","0","bin139.log"
"Apr 08 2011","2455659.999988426","323956801","0.08","< 6.69e-8","-","-","-","21.53","1e-8","0","bin140.log"
"Apr 15 2011","2455666.999988426","324561601","2.82","< 1.14e-7","-","-","-","25.51","1e-8","0","bin141.log"
"Apr 22 2011","2455673.999988426","325166401","0.46","< 7.10e-8","-","-","-","30.70","1e-8","0","bin142.log"
"Apr 29 2011","2455680.999988426","325771201","1.64","< 8.77e-8","-","-","-","36.61","1e-8","0","bin143.log"
"May 06 2011","2455687.999988426","326376001","0","< 3.19e-8","-","-","-","42.99","1e-8","0","bin144.log"
"May 13 2011","2455694.999988426","326980801","19.8","9.87e-8","3.07e-8","-2.55","-","49.66","1e-8","0","bin145.log"
"May 20 2011","2455701.999988426","327585601","2.15","< 8.28e-8","-","-","-","56.55","1e-8","0","bin146.log"
"May 27 2011","2455708.999988426","328190401","0.38","< 5.18e-8","-","-","-","63.60","1e-8","0","bin147.log"
"Jun 03 2011","2455715.999988426","328795201","0","< 3.81e-8","-","-","-","70.75","1e-8","0","bin148.log"
"Jun 10 2011","2455722.999988426","329400001","0","< 4.51e-8","-","-","-","77.97","1e-8","0","bin149.log"
"Jun 17 2011","2455729.999988426","330004801","1.07","< 5.97e-8","-","-","-","85.23","1e-8","0","bin150.log"
"Jun 24 2011","2455736.999988426","330609601","0","< 3.47e-8","-","-","-","92.51","1e-8","0","bin151.log"
"Jul 01 2011","2455743.999988426","331214401","0","< 4.24e-8","-","-","-","99.76","1e-8","0","bin152.log"
"Jul 08 2011","2455750.999988426","331819201","6.44","6.36e-8","3.04e-8","-2.55","-","106.97","1e-8","0","bin153.log"
"Jul 15 2011","2455757.999988426","332424001","4.15","4.58e-8","2.77e-8","-2.55","-","114.10","1e-8","0","bin154.log"
"Jul 22 2011","2455764.999988426","333028801","0.13","< 6.00e-8","-","-","-","121.12","1e-8","0","bin155.log"
"Jul 29 2011","2455771.999988426","333633601","0.99","< 5.42e-8","-","-","-","128.00","1e-8","0","bin156.log"
"Aug 05 2011","2455778.999988426","334238401","18.62","1.11e-7","3.45e-8","-2.55","-","134.67","1e-8","0","bin157.log"
"Aug 12 2011","2455785.999988426","334843201","2.72","< 8.68e-8","-","-","-","141.06","1e-8","0","bin158.log"
"Aug 19 2011","2455792.999988426","335448001","5.62","4.87e-8","2.58e-8","-2.55","-","147.06","1e-8","0","bin159.log"
"Aug 26 2011","2455799.999988426","336052801","0","< 4.52e-8","-","-","-","152.44","1e-8","0","bin160.log"
"Sep 02 2011","2455806.999988426","336657601","0.02","< 7.89e-8","-","-","-","156.84","1e-8","0","bin161.log"
"Sep 09 2011","2455813.999988426","337262401","0","< 6.33e-8","-","-","-","159.68","1e-8","0","bin162.log"
"Sep 16 2011","2455820.999988426","337867201","4.95","5.56e-8","2.96e-8","-2.55","-","160.36","1e-8","0","bin163.log"
"Sep 23 2011","2455827.999988426","338472001","3.34","< 8.69e-8","-","-","-","158.73","1e-8","0","bin164.log"
"Sep 30 2011","2455834.999988426","339076801","0","< 4.13e-8","-","-","-","155.31","1e-8","0","bin165.log"
"Oct 07 2011","2455841.999988426","339681601","9.79","7.48e-8","3.07e-8","-2.55","-","150.78","1e-8","0","bin166.log"
"Oct 14 2011","2455848.999988426","340286401","0.39","< 6.68e-8","-","-","-","145.63","1e-8","0","bin167.log"
"Oct 21 2011","2455855.999988426","340891201","0.99","< 7.30e-8","-","-","-","140.14","1e-8","0","bin168.log"
"Oct 28 2011","2455862.999988426","341496001","0","< 4.71e-8","-","-","-","134.48","1e-8","0","bin169.log"
"Nov 04 2011","2455869.999988426","342100801","1.56","< 7.37e-8","-","-","-","128.75","1e-8","0","bin170.log"
"Nov 11 2011","2455876.999988426","342705601","0.28","< 6.48e-8","-","-","-","123.01","1e-8","0","bin171.log"
"Nov 18 2011","2455883.999988426","343310401","2.22","< 8.15e-8","-","-","-","117.29","1e-8","0","bin172.log"
"Nov 25 2011","2455890.999988426","343915201","1.07","< 5.70e-8","-","-","-","111.63","1e-8","0","bin173.log"
"Dec 02 2011","2455897.999988426","344520001","0","< 3.54e-8","-","-","-","106.01","1e-8","0","bin174.log"
"Dec 09 2011","2455904.999988426","345124801","0.05","< 5.72e-8","-","-","-","100.44","1e-8","0","bin175.log"
"Dec 16 2011","2455911.999988426","345729601","7.15","6.96e-8","3.34e-8","-2.55","-","94.90","1e-8","0","bin176.log"
