planet_name,host_star,n_stars,n_planets,discovery_method,disc_year,disc_facility,orbital_period_days,planet_radius_earth,planet_mass_earth,equilibrium_temp_k,orbital_eccentricity,semi_major_axis_au,star_temp_k,star_radius_sun,star_mass_sun,star_age_gyr,star_surface_gravity,star_metallicity,dist_from_earth_pc,star_vmag,ra,dec,controversial_flag,planet_type,habitable_zone_flag,multi_planet_system,is_recent_discovery,dist_category,star_type,orbital_period_cat
Kepler-1167 b,Kepler-1167,1,1,Transit,2016.0,Kepler,1.003933739,1.71,3.57,1419.0,0.0,0.0175,4971.0,0.75,0.79,4.27,4.6,-0.05,820.905,16.047,298.3026595,47.6939654,0,Super-Earth,False,False,False,Far(500-2kpc),K-type,Short(1-10d)
Kepler-1740 b,Kepler-1740,1,1,Transit,2021.0,Kepler,8.172400475,3.32321414,11.0,858.0,0.0,0.0779,5705.0,0.905,0.943,,4.499,-0.06,1061.77,15.454,293.873663,38.9224548,0,Mini-Neptune,False,False,True,Far(500-2kpc),G-type(Sun-like),Short(1-10d)
Kepler-1581 b,Kepler-1581,1,1,Transit,2016.0,Kepler,6.28385491,0.8,0.437,1108.0,0.0,0.06865,6022.0,1.23,1.12,4.17,4.31,0.07,493.175,12.442,287.3713199,39.6036225,0,Sub-Earth,False,False,False,Mid(100-500pc),F-type,Short(1-10d)
Kepler-644 b,Kepler-644,1,1,Transit,2016.0,Kepler,3.173917103,3.15,10.1,1655.0,0.0,0.04641,6747.0,1.81,1.49,1.62,4.09,0.08,1318.05,14.031,295.4757022,43.4931119,0,Mini-Neptune,False,False,False,Far(500-2kpc),F-type,Short(1-10d)
Kepler-1752 b,Kepler-1752,1,1,Transit,2021.0,Kepler,56.35850143,4.54060463,18.7,419.0,0.0,0.2698,5446.0,0.821,0.824,7.2,4.525,-0.2,962.888,16.0249,290.8541401,51.2227435,0,Neptune-like,False,False,True,Far(500-2kpc),G-type(Sun-like),Medium(10-100d)
Kepler-280 c,Kepler-280,1,2,Transit,2014.0,Kepler,4.807091,2.01,4.7,1088.0,0.0,0.056,5744.0,0.886,0.962,5.62,4.537,0.1213,780.361,14.35,291.3905325,42.1804735,0,Mini-Neptune,False,True,False,Far(500-2kpc),G-type(Sun-like),Short(1-10d)
Kepler-1208 b,Kepler-1208,1,1,Transit,2016.0,Kepler,11.08507637,2.32,5.99,665.0,0.0,0.0901,5001.0,0.76,0.8,4.47,4.59,-0.03,825.176,16.256,291.8812445,44.5557587,0,Mini-Neptune,False,False,False,Far(500-2kpc),K-type,Medium(10-100d)
Kepler-263 c,Kepler-263,1,2,Transit,2014.0,Kepler,47.332773,2.47,6.66,386.0,0.0,0.242,5265.0,0.785,0.793,2.24,4.576,-0.0314,754.747,15.435,292.4698022,37.5677941,0,Mini-Neptune,True,True,False,Far(500-2kpc),G-type(Sun-like),Medium(10-100d)
Kepler-1101 b,Kepler-1101,1,1,Transit,2016.0,Kepler,81.3151059,2.47,6.66,393.0,0.0,0.3483,5614.0,0.91,0.94,4.27,4.5,-0.04,742.473,15.156,294.5693544,45.6711623,0,Mini-Neptune,True,False,False,Far(500-2kpc),G-type(Sun-like),Medium(10-100d)
HD 168746 b,HD 168746,1,1,Radial Velocity,2002.0,La Silla Observatory,6.404,11.1,85.8141,900.0,0.11,0.07,5570.0,1.09,1.07,8.0,4.39,-0.08,41.5681,7.95,275.4573269,-11.9229757,0,Gas Giant,False,False,False,Nearby(<100pc),G-type(Sun-like),Short(1-10d)
K2-19 b,K2-19,1,3,Transit,2015.0,K2,7.9222,7.0,32.4,779.0,0.2,0.074,5322.0,0.82,0.88,8.0,4.51,0.06,289.827,13.024,174.9602543,0.603596,0,Gas Giant,False,True,False,Mid(100-500pc),G-type(Sun-like),Short(1-10d)
Kepler-560 b,Kepler-560,2,1,Transit,2016.0,Kepler,18.47764449,1.72,3.61,298.0,0.17,0.0899,3556.0,0.33,0.34,4.07,4.94,-0.39,109.308,15.66,300.2066441,45.0182402,0,Super-Earth,True,False,False,Mid(100-500pc),M-type(Red Dwarf),Medium(10-100d)
Kepler-150 d,Kepler-150,1,5,Transit,2014.0,Kepler,12.56093,2.79,8.2,734.0,0.0,0.104,5560.0,0.939,0.956,1.74,4.466,0.12,891.092,15.161,288.2341025,40.520897,0,Mini-Neptune,False,True,False,Far(500-2kpc),G-type(Sun-like),Medium(10-100d)
Kepler-498 b,Kepler-498,1,1,Transit,2016.0,Kepler,9.61375356,3.03,9.43,931.0,0.0,0.0897,5744.0,0.96,0.98,3.89,4.47,-0.04,938.844,14.349,290.3581592,44.5187225,0,Mini-Neptune,False,False,False,Far(500-2kpc),G-type(Sun-like),Short(1-10d)
Kepler-817 b,Kepler-817,1,1,Transit,2016.0,Kepler,3.990106229,9.03,60.2,1124.0,0.0,0.0493,5861.0,1.03,1.03,3.55,4.42,0.02,1484.46,15.967,296.0818498,39.161614,0,Gas Giant,False,False,False,Far(500-2kpc),G-type(Sun-like),Short(1-10d)
Kepler-937 b,Kepler-937,1,2,Transit,2016.0,Kepler,67.668827,3.72,13.4,495.0,0.0,0.3214,6095.0,1.22,1.15,3.24,4.32,0.08,1571.46,15.405,294.1688142,46.7146161,0,Neptune-like,False,True,False,Far(500-2kpc),F-type,Medium(10-100d)
K2-10 b,K2-10,1,1,Transit,2015.0,K2,19.30553,3.773,25.2,649.0,0.31,0.137,5533.0,0.956,0.88,,4.47,-0.07,272.36,12.429,172.1216476,1.6906217,0,Neptune-like,False,False,False,Mid(100-500pc),G-type(Sun-like),Medium(10-100d)
Kepler-571 b,Kepler-571,1,1,Transit,2016.0,Kepler,4.798599388,2.64,7.46,978.0,0.0,0.0546,5527.0,0.9,0.93,4.68,4.51,0.01,723.875,14.951,286.5510448,49.418731,0,Mini-Neptune,False,False,False,Far(500-2kpc),G-type(Sun-like),Short(1-10d)
Kepler-1458 b,Kepler-1458,1,1,Transit,2016.0,Kepler,47.9872764,2.76,8.05,493.0,0.0,0.24869,5653.0,0.94,0.96,4.17,4.48,0.02,544.45,14.434,283.2115971,41.0380135,0,Mini-Neptune,False,False,False,Far(500-2kpc),G-type(Sun-like),Medium(10-100d)
